Multipole_ell,D_ell_LambdaCDM_Theory,D_ell_ECF_Theory
597,936.4140635673385,936.4140635673385
598,924.351938258456,924.351938258456
599,912.3284114637618,912.3284114637618
600,900.3490378531238,900.3490378531238
601,888.4192323446084,888.4192323446084
602,876.5442666884147,876.5442666884147
603,864.7292663152573,864.7292663152573
604,852.9792074494287,852.9792074494287
605,841.2989144862598,841.2989144862598
606,829.693057633175,829.693057633175
607,818.1661508130495,818.1661508130495
608,806.7225498280812,806.7225498280812
609,795.3664507819259,795.3664507819259
610,784.1018887573802,784.1018887573802
611,772.9327367464574,772.9327367464574
612,761.8627048292747,761.8627048292747
613,750.8953395977633,750.8953395977633
614,740.0340238198182,740.0340238198182
615,729.2819763391386,729.2819763391386
616,718.6422522056424,718.6422522056424
617,708.1177430310233,708.1177430310233
618,697.7111775636861,697.7111775636861
619,687.4251224770104,687.4251224770104
620,677.2619833646144,677.2619833646144
621,667.224005936044,667.224005936044
622,657.3132774060653,657.3132774060653
623,647.5317280705385,647.5317280705385
624,637.8811330616576,637.8811330616576
625,628.3631142751592,628.3631142751592
626,618.9791424619699,618.9791424619699
627,609.7305394766164,609.7305394766164
628,600.618480674624,600.618480674624
629,591.6439974510342,591.6439974510342
630,582.8079799121059,582.8079799121059
631,574.1111796722101,574.1111796722101
632,565.5542127679063,565.5542127679063
633,557.1375626811637,557.1375626811637
634,548.8615834637089,548.8615834637089
635,540.7265029544983,540.7265029544983
636,532.732426082352,532.732426082352
637,524.8793382458559,524.8793382458559
638,517.1671087626928,517.1671087626928
639,509.5954943806707,509.5954943806707
640,502.16414284280603,502.16414284280603
641,494.87259649894753,494.87259649894753
642,487.7202959565451,487.7202959565451
643,480.7065837633219,480.7065837633219
644,473.8307081147598,473.8307081147598
645,467.0918265794678,467.0918265794678
646,460.48900983568933,460.48900983568933
647,454.0212454123828,454.0212454123828
648,447.68744142850846,447.68744142850846
649,441.48643032435507,441.48643032435507
650,435.41697257895123,435.41697257895123
651,429.4777604078231,429.4777604078231
652,423.66742143558207,423.66742143558207
653,417.98452233805136,417.98452233805136
654,412.4275724488783,412.4275724488783
655,406.9950273258073,406.9950273258073
656,401.6852922720318,401.6852922720318
657,396.4967258082817,396.4967258082817
658,391.4276430915465,391.4276430915465
659,386.47631927657426,386.47631927657426
660,381.6409928165355,381.6409928165355
661,376.9198686994765,376.9198686994765
662,372.31112161743386,372.31112161743386
